index,run_id,loader,model_variant,view,model_path,model_bytes,model_sha256,page_url,page_title,dataset_ready,dataset_model_url,glb_resource_url,glb_transfer_size,glb_encoded_body_size,glb_decoded_body_size,glb_duration_ms,console_errors_at_navigation,console_warnings_at_navigation,screenshot_path,screenshot_bytes,screenshot_sha256,started_utc,completed_utc,status
12,R012-three-web-rear,three,web,rear,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=rear&run=R012-three-web-rear&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web rear R012-three-web-rear,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R012-three-web-rear&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R012-three-web-rear&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,283.5,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/rear.png,295390,1eb07cb839d5f0fc7edefbce78387e9d80d34519844387be80570b3953debc24,2026-08-23T19:39:12.798203+00:00,2026-08-23T19:39:25.656533+00:00,PASS
13,R013-three-web-right,three,web,right,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=right&run=R013-three-web-right&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web right R013-three-web-right,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R013-three-web-right&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R013-three-web-right&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,322.4000000022352,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/right.png,160399,7a0287989f82c6614f3e7856d95d79c3c840a752809f5c7d652265faa5f0b337,2026-08-23T19:39:25.656609+00:00,2026-08-23T19:39:40.398612+00:00,PASS
14,R014-three-web-left,three,web,left,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=left&run=R014-three-web-left&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web left R014-three-web-left,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R014-three-web-left&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R014-three-web-left&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,358.9000000022352,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/left.png,173223,54a4dd25c8e33ea10a830d6b2fd21e98039d7d4a3b97dd7815aced6994187d6f,2026-08-23T19:39:40.398683+00:00,2026-08-23T19:39:52.615286+00:00,PASS
15,R015-three-web-top,three,web,top,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=top&run=R015-three-web-top&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web top R015-three-web-top,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R015-three-web-top&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R015-three-web-top&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,466.5,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/top.png,283089,9506d046c15be07d60b290faede2e25c325986618916785b7c2846c41a51c5dc,2026-08-23T19:39:52.615360+00:00,2026-08-23T19:40:10.355260+00:00,PASS
16,R016-three-web-bottom,three,web,bottom,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=bottom&run=R016-three-web-bottom&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web bottom R016-three-web-bottom,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R016-three-web-bottom&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R016-three-web-bottom&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,328.5,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/bottom.png,171343,c50f6238ff725acfb00ab4ab9bcc45f230edf3be0644301596910255a8b5eb3f,2026-08-23T19:40:10.355896+00:00,2026-08-23T19:40:24.662551+00:00,PASS
17,R017-three-web-frontLeft,three,web,frontLeft,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=frontLeft&run=R017-three-web-frontLeft&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web frontLeft R017-three-web-frontLeft,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R017-three-web-frontLeft&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R017-three-web-frontLeft&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,386.3999999985099,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/frontLeft.png,174255,303264801a18b8f8e592aaf6846008c7488a3017b198c2ca0d20d49e82f682b9,2026-08-23T19:40:24.662627+00:00,2026-08-23T19:40:39.410581+00:00,PASS
18,R018-three-web-frontRight,three,web,frontRight,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=frontRight&run=R018-three-web-frontRight&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web frontRight R018-three-web-frontRight,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R018-three-web-frontRight&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R018-three-web-frontRight&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,329,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/frontRight.png,175440,e10e458b1ad04d39d92494cead93da1f186ee8fcb9e503db6aea473d523f460c,2026-08-23T19:40:39.410674+00:00,2026-08-23T19:40:54.423133+00:00,PASS
19,R019-three-web-rearLeft,three,web,rearLeft,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=rearLeft&run=R019-three-web-rearLeft&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web rearLeft R019-three-web-rearLeft,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R019-three-web-rearLeft&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R019-three-web-rearLeft&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,386.1000000014901,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/rearLeft.png,174245,410262be960130c73247a144e02eee1f9706f2fe58f6b8e4196878d4c35a82e4,2026-08-23T19:40:54.423213+00:00,2026-08-23T19:41:11.315391+00:00,PASS
20,R020-three-web-rearRight,three,web,rearRight,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb,8382752,3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/three.html?model=web&view=rearRight&run=R020-three-web-rearRight&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,READY Three web rearRight R020-three-web-rearRight,1,/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R020-three-web-rearRight&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch-web.glb?load=R020-three-web-rearRight&sha256=3a721b51d754151d01b5981391318b5d74b361ef8e9f980228167dc8846f1f09,8383052,8382752,8382752,382,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/three/web/rearRight.png,173093,04a4f159e938c4a352a36e455d375c8330d732378ebc39680762de0a4925445d,2026-08-23T19:41:11.315482+00:00,2026-08-23T19:41:24.160299+00:00,PASS
21,R021-babylon-standard-front,babylon,standard,front,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/babylon.html?model=standard&view=front&run=R021-babylon-standard-front&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Babylon standard front R021-babylon-standard-front,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R021-babylon-standard-front&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R021-babylon-standard-front&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,437.3999999985099,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/babylon/standard/front.png,282679,348ffec19f8c430712a8852134f99a20fd2e99e4db8a7d4d2010a64000326f7a,2026-08-23T19:41:24.160385+00:00,2026-08-23T19:41:48.430192+00:00,PASS
22,R022-babylon-standard-rear,babylon,standard,rear,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/model/Lenovo-ThinkServer-SR655-2.5inch.glb,11964408,51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/qa/revalidation-2026-08-24/viewers/babylon.html?model=standard&view=rear&run=R022-babylon-standard-rear&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,READY Babylon standard rear R022-babylon-standard-rear,1,/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R022-babylon-standard-rear&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,http://127.0.0.1:8765/model/Lenovo-ThinkServer-SR655-2.5inch.glb?load=R022-babylon-standard-rear&sha256=51e5d5a72fb4f4471d76cb24f16627d10e7ea12993ebeec220aa2da7f7f7bc25,11964708,11964408,11964408,478.0999999977648,,,/root/Project/rack-device-3d/Lenovo-ThinkServer-SR655-2.5inch/qa/revalidation-2026-08-24/renders/babylon/standard/rear.png,293635,307637ecc0b39629db96814eeb8934536a17fb2269ec746066b84bc3fcfccfd5,2026-08-23T19:41:48.430278+00:00,2026-08-23T19:42:14.618402+00:00,PASS
