Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/model/08-neutral-studio-calibrated.blend"
Fra:1 Mem:184.90M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_01_QSFP28_EMPTY
Fra:1 Mem:184.91M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_recessed_connector_stop
Fra:1 Mem:184.92M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_connector_contact_surround
Fra:1 Mem:184.94M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_guide_-1_-4.25
Fra:1 Mem:184.96M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_guide_-1_4.25
Fra:1 Mem:184.98M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_spring_-1_-2.8
Fra:1 Mem:185.00M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_spring_-1_0
Fra:1 Mem:185.02M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_spring_-1_2.8
Fra:1 Mem:185.05M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_guide_1_-4.25
Fra:1 Mem:185.07M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_guide_1_4.25
Fra:1 Mem:185.09M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_spring_1_-2.8
Fra:1 Mem:185.11M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_spring_1_0
Fra:1 Mem:185.13M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_spring_1_2.8
Fra:1 Mem:185.15M (Peak 200.51M) | Time:00:02.04 | Syncing Port01_subtle_recessed_contact_ro
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_03_QSFP28_EMPTY
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_recessed_connector_stop
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_connector_contact_surround
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_guide_-1_-4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_guide_-1_4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_spring_-1_-2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_spring_-1_0
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_spring_-1_2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_guide_1_-4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_guide_1_4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_spring_1_-2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_spring_1_0
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_spring_1_2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port03_subtle_recessed_contact_ro
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing BUSINESS_PORT_05_QSFP28_EMPTY
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_recessed_connector_stop
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_connector_contact_surround
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_guide_-1_-4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_guide_-1_4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_spring_-1_-2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_spring_-1_0
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_spring_-1_2.8
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_guide_1_-4.25
Fra:1 Mem:185.17M (Peak 200.51M) | Time:00:02.04 | Syncing Port05_guide_1_4.25
