Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/model/CISCO-Nexus-N9K-C9336C-FX2.blend"
Fra:1 Mem:137.72M (Peak 137.72M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_guide_-1_4.25
Fra:1 Mem:138.31M (Peak 138.31M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_-1_-2.8
Fra:1 Mem:138.33M (Peak 138.33M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_-1_0
Fra:1 Mem:138.41M (Peak 138.41M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_-1_2.8
Fra:1 Mem:138.42M (Peak 138.42M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_guide_1_-4.25
Fra:1 Mem:138.44M (Peak 138.44M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_guide_1_4.25
Fra:1 Mem:138.46M (Peak 138.46M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_1_-2.8
Fra:1 Mem:138.47M (Peak 138.47M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_1_0
Fra:1 Mem:138.49M (Peak 138.49M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_1_2.8
Fra:1 Mem:138.50M (Peak 138.50M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_subtle_recessed_contact_row
Fra:1 Mem:138.52M (Peak 138.52M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_recessed_connector_stop
Fra:1 Mem:138.53M (Peak 138.53M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_connector_contact_surround
Fra:1 Mem:138.54M (Peak 138.54M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_guide_-1_-4.25
Fra:1 Mem:138.55M (Peak 138.55M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_guide_-1_4.25
Fra:1 Mem:138.85M (Peak 138.85M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_-1_-2.8
Fra:1 Mem:138.86M (Peak 138.86M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_-1_0
Fra:1 Mem:138.88M (Peak 138.88M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_-1_2.8
Fra:1 Mem:138.95M (Peak 138.95M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_guide_1_-4.25
Fra:1 Mem:138.91M (Peak 138.95M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_guide_1_4.25
Fra:1 Mem:138.93M (Peak 138.95M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_1_-2.8
Fra:1 Mem:138.94M (Peak 138.95M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_1_0
Fra:1 Mem:138.95M (Peak 138.95M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_1_2.8
Fra:1 Mem:138.98M (Peak 138.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_subtle_recessed_contact_row
Fra:1 Mem:138.98M (Peak 138.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_rotor_housing_-1
Fra:1 Mem:139.00M (Peak 139.00M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_hub_-1
