Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:223.30M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_symbol_branch_B.001
Fra:1 Mem:223.30M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_symbol_branch_A.001
Fra:1 Mem:223.30M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_node_1.001
Fra:1 Mem:223.33M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_node_0.001
Fra:1 Mem:223.36M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_node_-1.001
Fra:1 Mem:223.39M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_line.007
Fra:1 Mem:223.39M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_line.006
Fra:1 Mem:223.39M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_line.005
Fra:1 Mem:223.39M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | SFP_management_symbol_line.004
Fra:1 Mem:223.39M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_node_1.001
Fra:1 Mem:223.42M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_node_0.001
Fra:1 Mem:223.45M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_node_-1.001
Fra:1 Mem:223.48M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_line.007
Fra:1 Mem:223.48M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_line.006
Fra:1 Mem:223.48M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_line.005
Fra:1 Mem:223.49M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | RJ45_management_symbol_line.004
Fra:1 Mem:223.49M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_A_metal_shell.001
Fra:1 Mem:223.53M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_A_deep_stop.001
Fra:1 Mem:223.53M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_A_contact_3.001
Fra:1 Mem:223.55M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_A_contact_2.001
Fra:1 Mem:223.57M (Peak 252.38M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | USB_A_contact_1.001
