Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/model/CISCO-Nexus-N9K-C9336C-FX2.blend"
Fra:1 Mem:137.95M (Peak 137.95M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_connector_contact_surround
Fra:1 Mem:137.96M (Peak 137.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_guide_-1_-4.25
Fra:1 Mem:138.01M (Peak 138.01M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_guide_-1_4.25
Fra:1 Mem:138.57M (Peak 138.57M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_-1_-2.8
Fra:1 Mem:138.65M (Peak 138.65M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_-1_0
Fra:1 Mem:138.67M (Peak 138.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_-1_2.8
Fra:1 Mem:138.69M (Peak 138.69M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_guide_1_-4.25
Fra:1 Mem:138.70M (Peak 138.70M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_guide_1_4.25
Fra:1 Mem:138.72M (Peak 138.72M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_1_-2.8
Fra:1 Mem:138.74M (Peak 138.74M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_1_0
Fra:1 Mem:138.76M (Peak 138.76M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_spring_1_2.8
Fra:1 Mem:140.22M (Peak 140.22M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port01_subtle_recessed_contact_row
Fra:1 Mem:140.23M (Peak 140.23M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_recessed_connector_stop
Fra:1 Mem:140.24M (Peak 140.24M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_connector_contact_surround
Fra:1 Mem:140.25M (Peak 140.25M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_guide_-1_-4.25
Fra:1 Mem:140.54M (Peak 140.54M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_guide_-1_4.25
Fra:1 Mem:140.67M (Peak 140.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_-1_-2.8
Fra:1 Mem:140.58M (Peak 140.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_-1_0
Fra:1 Mem:140.59M (Peak 140.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_-1_2.8
Fra:1 Mem:140.61M (Peak 140.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_guide_1_-4.25
Fra:1 Mem:140.62M (Peak 140.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_guide_1_4.25
Fra:1 Mem:140.64M (Peak 140.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_1_-2.8
Fra:1 Mem:140.65M (Peak 140.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_1_0
Fra:1 Mem:140.67M (Peak 140.67M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_spring_1_2.8
Fra:1 Mem:142.35M (Peak 142.36M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Port02_subtle_recessed_contact_row
Fra:1 Mem:142.37M (Peak 142.37M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_rotor_housing_-1
Fra:1 Mem:142.37M (Peak 142.37M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_hub_-1
Fra:1 Mem:142.38M (Peak 142.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_-1_0
Fra:1 Mem:142.38M (Peak 142.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_-1_1
Fra:1 Mem:142.38M (Peak 142.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_-1_2
Fra:1 Mem:142.38M (Peak 142.38M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_-1_3
Fra:1 Mem:142.39M (Peak 142.39M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_-1_4
Fra:1 Mem:142.39M (Peak 142.39M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_-1_5
Fra:1 Mem:142.39M (Peak 142.39M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_-1_6
Fra:1 Mem:142.39M (Peak 142.39M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_top_retention_rail_-1
Fra:1 Mem:142.39M (Peak 142.39M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_rear_power_contact_block_-1
Fra:1 Mem:142.41M (Peak 142.41M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_rotor_housing_1
Fra:1 Mem:142.42M (Peak 142.42M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_hub_1
Fra:1 Mem:142.42M (Peak 142.42M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_1_0
Fra:1 Mem:142.43M (Peak 142.43M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_1_1
Fra:1 Mem:142.43M (Peak 142.43M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_1_2
Fra:1 Mem:142.43M (Peak 142.43M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_1_3
Fra:1 Mem:142.43M (Peak 142.43M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_1_4
Fra:1 Mem:142.43M (Peak 142.43M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_1_5
Fra:1 Mem:142.43M (Peak 142.43M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_blade_1_6
Fra:1 Mem:142.43M (Peak 142.43M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_top_retention_rail_1
Fra:1 Mem:142.44M (Peak 142.44M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | CISCO_N9K_C9336C_FX2_V001, ViewLayer | Synchronizing object | Fan1_rear_power_contact_block_1
