Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/12-persistent-label-uv.blend"
Fra:22 Mem:250.04M (Peak 250.30M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.006
Fra:22 Mem:250.44M (Peak 250.44M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.008
Fra:22 Mem:250.52M (Peak 250.52M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.009
Fra:22 Mem:250.44M (Peak 250.52M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.010
Fra:22 Mem:250.58M (Peak 250.58M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.011
Fra:22 Mem:250.59M (Peak 250.59M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.013
Fra:22 Mem:252.37M (Peak 252.37M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.014
Fra:22 Mem:252.14M (Peak 252.37M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.015
Fra:22 Mem:252.33M (Peak 252.37M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.016
Fra:22 Mem:252.64M (Peak 252.64M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.017
Fra:22 Mem:253.06M (Peak 253.06M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.018
Fra:22 Mem:253.27M (Peak 253.27M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.019
Fra:22 Mem:253.58M (Peak 253.58M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.020
Fra:22 Mem:254.29M (Peak 254.29M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.021
Fra:22 Mem:254.31M (Peak 254.31M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.022
Fra:22 Mem:254.33M (Peak 254.33M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.023
Fra:22 Mem:253.98M (Peak 254.33M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head
Fra:22 Mem:254.35M (Peak 254.35M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.001
Fra:22 Mem:254.62M (Peak 254.62M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.002
Fra:22 Mem:255.64M (Peak 255.64M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.003
Fra:22 Mem:255.65M (Peak 255.65M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Midheight_sled_shelf
Fra:22 Mem:256.02M (Peak 256.02M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Central_PSU_channel_divider
Fra:22 Mem:255.85M (Peak 256.02M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_backplane_shadow
Fra:22 Mem:255.77M (Peak 256.02M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Hidden_backplane_socket
Fra:22 Mem:255.89M (Peak 256.02M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Rack_ear_mount_-1
Fra:22 Mem:255.90M (Peak 256.02M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Control_ear_shell_-1
Fra:22 Mem:255.93M (Peak 256.02M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Lower_ear_screw_boss_-1
Fra:22 Mem:255.92M (Peak 256.02M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_punched_cheek_-1
Fra:22 Mem:256.44M (Peak 256.44M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cage_side_return_-1
Fra:22 Mem:256.83M (Peak 256.83M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Chrome_lifting_handle_-1
Fra:22 Mem:256.88M (Peak 256.88M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | PSU2_woven_edge_fibres
Fra:22 Mem:256.84M (Peak 256.88M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Handle_flat_anchor_-1
Fra:22 Mem:257.36M (Peak 257.36M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Chrome_lifting_handle_1
Fra:22 Mem:258.32M (Peak 258.32M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_lower_rolled_hem
Fra:22 Mem:258.85M (Peak 258.85M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Drive_bank_divider_0
Fra:22 Mem:258.78M (Peak 258.85M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Control_face_inset_-1
Fra:22 Mem:258.78M (Peak 258.85M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Control_face_bottom_clip_-1
Fra:22 Mem:258.90M (Peak 258.90M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | DELL_EMC_official_badge
Fra:22 Mem:259.26M (Peak 259.26M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_button_lens_1
Fra:22 Mem:259.26M (Peak 259.26M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_outer_white_print_1
Fra:22 Mem:259.33M (Peak 259.33M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_1
