Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/13-flat-punched-sheet-normals.blend"
Fra:22 Mem:247.41M (Peak 247.41M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.004
Fra:22 Mem:247.43M (Peak 247.43M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.005
Fra:22 Mem:247.72M (Peak 247.72M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.006
Fra:22 Mem:248.98M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.007
Fra:22 Mem:248.71M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.008
Fra:22 Mem:248.71M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.009
Fra:22 Mem:248.77M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.010
Fra:22 Mem:248.81M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.011
Fra:22 Mem:248.94M (Peak 248.98M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.012
Fra:22 Mem:250.20M (Peak 250.20M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.013
Fra:22 Mem:250.12M (Peak 250.20M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.014
Fra:22 Mem:250.66M (Peak 250.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.015
Fra:22 Mem:250.02M (Peak 250.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.016
Fra:22 Mem:250.07M (Peak 250.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.017
Fra:22 Mem:250.52M (Peak 250.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.018
Fra:22 Mem:251.59M (Peak 251.59M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.019
Fra:22 Mem:252.74M (Peak 252.74M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.020
Fra:22 Mem:252.82M (Peak 252.82M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.021
Fra:22 Mem:253.18M (Peak 253.18M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.022
Fra:22 Mem:253.40M (Peak 253.40M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.023
Fra:22 Mem:253.40M (Peak 253.40M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head
Fra:22 Mem:253.41M (Peak 253.41M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.001
Fra:22 Mem:253.57M (Peak 253.57M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.002
Fra:22 Mem:255.57M (Peak 255.57M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.003
Fra:22 Mem:255.54M (Peak 255.57M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Midheight_sled_shelf
Fra:22 Mem:255.47M (Peak 255.57M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Central_PSU_channel_divider
Fra:22 Mem:255.98M (Peak 255.98M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_backplane_shadow
Fra:22 Mem:255.98M (Peak 255.98M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Hidden_backplane_socket
Fra:22 Mem:255.86M (Peak 255.98M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Rack_ear_mount_-1
