Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/11-clear-original-labels.blend"
Fra:22 Mem:249.27M (Peak 249.65M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.003
Fra:22 Mem:249.57M (Peak 249.65M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.004
Fra:22 Mem:249.66M (Peak 249.66M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.005
Fra:22 Mem:249.84M (Peak 249.84M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.006
Fra:22 Mem:250.63M (Peak 250.63M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.007
Fra:22 Mem:251.55M (Peak 251.55M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.008
Fra:22 Mem:251.67M (Peak 251.67M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.009
Fra:22 Mem:252.17M (Peak 252.17M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.010
Fra:22 Mem:251.32M (Peak 252.17M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.011
Fra:22 Mem:253.17M (Peak 253.17M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.012
Fra:22 Mem:253.00M (Peak 253.17M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.013
