Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:352.39M (Peak 352.39M) | Time:00:00.46 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Underlapping_cover_seam.002
Fra:1 Mem:352.41M (Peak 352.41M) | Time:00:00.46 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_traction_pad.002
Fra:1 Mem:352.44M (Peak 352.44M) | Time:00:00.46 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_release_recess_back.001
Fra:1 Mem:352.96M (Peak 353.10M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Cover_release_metal_tab.001
Fra:1 Mem:352.96M (Peak 353.10M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.024
Fra:1 Mem:353.17M (Peak 353.17M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.024
Fra:1 Mem:353.09M (Peak 353.17M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.025
Fra:1 Mem:353.03M (Peak 353.17M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.026
Fra:1 Mem:353.70M (Peak 353.70M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_woven_extraction_loop.001
Fra:1 Mem:353.94M (Peak 353.94M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.027
Fra:1 Mem:355.85M (Peak 355.85M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.028
Fra:1 Mem:355.93M (Peak 355.93M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.029
Fra:1 Mem:355.95M (Peak 355.95M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU2_woven_edge_fibres.001
Fra:1 Mem:357.12M (Peak 357.12M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.030
Fra:1 Mem:357.03M (Peak 357.12M) | Time:00:00.47 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.031
