Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/07-finish-reviewed.blend"
Fra:1 Mem:99.37M (Peak 99.38M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_vertical_lip
Fra:1 Mem:99.86M (Peak 99.86M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_vertical_lip.001
Fra:1 Mem:99.86M (Peak 99.86M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_0_sidewall
Fra:1 Mem:99.87M (Peak 99.87M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_0_horizontalwall
Fra:1 Mem:99.88M (Peak 99.88M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_0_sidewall.001
Fra:1 Mem:99.90M (Peak 99.90M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_0_horizontalwall.001
Fra:1 Mem:99.90M (Peak 99.90M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact
Fra:1 Mem:100.06M (Peak 100.06M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.001
Fra:1 Mem:100.07M (Peak 100.07M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.002
Fra:1 Mem:100.07M (Peak 100.07M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.003
Fra:1 Mem:100.07M (Peak 100.07M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_recess_back
Fra:1 Mem:100.08M (Peak 100.08M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_sidewall
Fra:1 Mem:100.08M (Peak 100.08M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_horizontalwall
Fra:1 Mem:100.09M (Peak 100.09M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB3_1_tongue
Fra:1 Mem:100.09M (Peak 100.09M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.004
Fra:1 Mem:100.10M (Peak 100.10M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.005
Fra:1 Mem:100.26M (Peak 100.26M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_USB_contact.006
Fra:1 Mem:100.26M (Peak 100.26M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_0_sidewall
Fra:1 Mem:100.27M (Peak 100.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_0_horizontalwall
Fra:1 Mem:100.27M (Peak 100.27M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_0_sidewall.001
Fra:1 Mem:100.28M (Peak 100.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_0_horizontalwall.001
Fra:1 Mem:100.28M (Peak 100.28M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_inner_contact
Fra:1 Mem:100.29M (Peak 100.29M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_inner_contact.001
Fra:1 Mem:100.30M (Peak 100.30M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_1_recess_back
Fra:1 Mem:100.31M (Peak 100.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_1_sidewall
Fra:1 Mem:100.31M (Peak 100.31M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_SFP_1_horizontalwall
