Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/DELL-PowerEdge-C6420-4N-24SFF.blend"
Fra:1 Mem:106.60M (Peak 106.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_rear_vertical_lip.001
Fra:1 Mem:106.61M (Peak 106.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_0_recess_back
Fra:1 Mem:106.60M (Peak 106.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_0_sidewall
Fra:1 Mem:106.61M (Peak 106.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_0_horizontalwall
Fra:1 Mem:106.62M (Peak 106.62M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_0_sidewall.001
Fra:1 Mem:106.63M (Peak 106.63M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_0_horizontalwall.001
Fra:1 Mem:106.65M (Peak 106.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_0_tongue
Fra:1 Mem:106.65M (Peak 106.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB_contact.001
Fra:1 Mem:106.65M (Peak 106.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_1_sidewall
Fra:1 Mem:106.66M (Peak 106.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_1_horizontalwall.001
Fra:1 Mem:107.15M (Peak 107.15M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB3_1_tongue
Fra:1 Mem:107.15M (Peak 107.15M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node1_USB_contact.005
